SKU;Name;Color;Category;Category position;Brand;Seller;Balance;Comments;Rating;Final Price;Min price;Max price;Average price;Base price;Basic Sale;Basic Sale Price;Promo Sale;SPP;SPP Price;Revenue potential;Lost profit;Lost profit percent;Days in stock;Days with sales;Average if in stock;Sales;Sales per day average;Revenue
153324;Зеркальце;янтарный, серебристый;Аксессуары/Зеркальца;1060;Win;ИП Дабагян Вилен Артурович;3;6;3;2773;2376;3377;2501.5;2919;30;4170;5;5;2634;5003;0;0;30;2;0.066666666666667;2;0.066666666666667;5003
153330;Зеркальце;оранжевый, серебристый;Женщинам/Подарки женщинам/Подруге/Зеркальце;56;Win;ИП Дабагян Вилен Артурович;3;10;4;1975;1188;2138;0;2079;30;2970;5;5;1876;0;0;0;30;0;0;0;0;0
153335;Нож столовый;бледно-розовый, зеленый, голубой;Дом/Кухня/Столовые приборы/Нож столовый;208;Pavone;ИП Дабагян Вилен Артурович;10;6;5;1975;1188;1975;0;2079;30;2970;5;5;1876;0;0;0;30;0;0;0;0;0
153339;Статуэтка "Кошка";желтый, зеленый, красный;Дом/Предметы интерьера/Статуэтки, снежные шары, фигурки/Статуэтка;4422;Pavone;ИП Дабагян Вилен Артурович;2;3;5;5187;4563;6318;0;5460;30;7800;5;5;4927;0;0;0;30;0;0;0;0;0
153393;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8620;Eleganse;Беломар ОДО;13;18;4;6379;6379;6379;0;6715;25;8954;5;5;6060;0;0;0;30;0;0;0;0;0
153394;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8621;Eleganse;Беломар ОДО;5;2;5;6379;6379;6379;0;6715;25;8954;5;5;6060;0;0;0;30;0;0;0;0;0
153399;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8622;Eleganse;Беломар ОДО;5;15;5;6091;6091;6091;0;6411;25;8549;5;5;5786;0;0;0;30;0;0;0;0;0
160280;Полусапожки Crocband Jaunt Kids;фуксия;Обувь/Детская/Полусапожки;103;CROCS;ООО Вайлдберриз;36;36;4;3299;1484;3299;2396.0833333333;3299;0;3299;0;8;3035;86259;0;0;30;17;1.2;36;1.2;86259
162810;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;6940;Eleganzza;ООО Гретта;7;18;4;4600;4600;4600;0;4600;0;4600;0;4;4416;0;0;0;30;0;0;0;0;0
162811;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;4980;Eleganzza;ООО Гретта;19;57;4;4600;4278;4600;4600;4600;0;4600;0;5;4370;9200;0;0;30;1;0.066666666666667;2;0.066666666666667;9200
162812;Перчатки;темно-коричневый;Аксессуары/Перчатки и варежки/Перчатки;8623;Eleganzza;ООО Гретта;5;57;4;4600;4278;4600;0;4600;0;4600;0;5;4370;0;0;0;30;0;0;0;0;0
162813;Перчатки;кремовый;Аксессуары/Перчатки и варежки/Перчатки;8624;Eleganzza;ООО Гретта;2;57;4;4610;4287;4610;4610;4610;0;4610;0;5;4379;4610;0;0;30;1;0.033333333333333;1;0.033333333333333;4610
162814;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8625;Eleganzza;ООО Гретта;9;34;5;4900;4557;4900;4900;4900;0;4900;0;4;4704;4900;0;0;30;1;0.033333333333333;1;0.033333333333333;4900
162819;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8626;Eleganzza;ООО Гретта;3;3;2;6900;6417;6900;0;6900;0;6900;0;5;6555;0;0;0;30;0;0;0;0;0
162821;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;8627;Eleganzza;ООО Гретта;16;17;4;4485;4002;4485;0;4485;35;6900;0;4;4305;0;0;0;30;0;0;0;0;0
162822;Перчатки;коричневый;Аксессуары/Перчатки и варежки/Перчатки;8628;Eleganzza;ООО Гретта;10;17;4;5135;4582;5135;0;5135;35;7900;0;5;4878;0;0;0;30;0;0;0;0;0
162823;Перчатки;черный;Аксессуары/Перчатки и варежки/Перчатки;880;Eleganzza;ООО Гретта;12;22;4;6900;6417;6900;0;6900;0;6900;0;4;6624;0;0;0;30;0;0;0;0;0
